------------------------------------------------------------------------------------
log file for recomend system \\ script made by Dmitry Chapliuk 
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 0349312836 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 0349311890 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): brsopkon150 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): dernakbr150 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): br70s-08-5 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bnak62506 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bnak62508 Client_ID: null
[2014-03-13 13:46:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bnak62510 Client_ID: null
[2014-03-13 13:55:16] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bha1113a Client_ID: null
[2014-03-13 13:55:18] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): barc160а Client_ID: null
[2014-03-13 14:26:21] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bre71tgs-08-5 Client_ID: 1952255339.1388234182
[2014-03-13 14:29:25] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535632 Client_ID: null
[2014-03-13 14:53:22] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): bcut60 Client_ID: 1201149064.1374329121
[2014-03-13 14:55:24] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): shas-4000f Client_ID: null
[2014-03-13 15:49:24] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bctkat312 Client_ID: null
[2014-03-13 15:49:24] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bctsop312 Client_ID: null
[2014-03-13 15:49:24] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): brsopc40 Client_ID: null
[2014-03-13 15:56:53] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): sarc500j15 Client_ID: 1043266146.1393856831
[2014-03-13 16:04:53] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): sarc205b-z203 Client_ID: 1330989519.1394643911
[2014-03-13 16:16:56] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 815725 Client_ID: null
[2014-03-13 16:28:11] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 618540901 Client_ID: null
[2014-03-13 17:07:12] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-22 Client_ID: null
[2014-03-13 17:07:12] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: null
[2014-03-13 17:43:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535632 Client_ID: null
[2014-03-13 17:43:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER308L30 Client_ID: null
[2014-03-13 17:45:47] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): fmaster202 Client_ID: 1528295652.1382449942
[2014-03-13 17:55:55] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 4188581 Client_ID: null
[2014-03-13 17:56:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): gsrt17bgas Client_ID: null
[2014-03-13 17:56:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): F002.0514 Client_ID: null
[2014-03-13 18:06:26] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-22 Client_ID: 1558382101.1394432879
[2014-03-13 19:01:51] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 621853002 Client_ID: null
[2014-03-13 19:01:51] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6252514MMT Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 9876635 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W001047 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W001048 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W007430 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W007294 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W007438 Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): stig315pacdc Client_ID: null
[2014-03-13 19:01:52] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): scooler6 Client_ID: null
[2014-03-13 19:01:53] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): regu30kr Client_ID: null
[2014-03-13 19:01:53] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGU0006-20 Client_ID: null
[2014-03-13 19:01:53] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGU0006-24 Client_ID: null
[2014-03-13 19:01:54] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGF0006-20 Client_ID: null
[2014-03-13 19:01:54] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): IGF0006-24 Client_ID: null
